id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_set_protocol","Set_protocol → _get_path","Set_protocol → _get_path","cross_community",7,"['comm_22','comm_18']","Function:preset_buttons.py:PresetButtonWidget.set_protocol","Function:preset_buttons.py:_get_path"
"proc_1_set_file_paths","Set_file_paths → _get_path","Set_file_paths → _get_path","cross_community",7,"['comm_22','comm_18']","Function:preset_buttons.py:PresetButtonWidget.set_file_paths","Function:preset_buttons.py:_get_path"
"proc_2_refresh","Refresh → _get_path","Refresh → _get_path","cross_community",7,"['comm_22','comm_18']","Function:preset_buttons.py:PresetButtonWidget.refresh","Function:preset_buttons.py:_get_path"
"proc_3___init__","__init__ → _get_path","__init__ → _get_path","cross_community",7,"['comm_20','comm_22','comm_18']","Function:preset_buttons.py:PresetButtonWidget.__init__","Function:preset_buttons.py:_get_path"
"proc_4_generate_frame","Generate_frame → _pack_field","Generate_frame → _pack_field","cross_community",5,"['comm_33','comm_34']","Function:gdw_send_frame_lib.py:GDWFrameGenerator.generate_frame","Function:gdw_send_frame_lib.py:GDWFrameGenerator._pack_field"
"proc_5_test_push_frame","Test_push_frame → _parse_ascii_string","Test_push_frame → _parse_ascii_string","cross_community",5,"['comm_3','comm_4']","Function:test_push_frame.py:test_push_frame","Function:plc_rf_parser.py:PLCRFProtocolParser._parse_ascii_string"
"proc_6_test_frame","Test_frame → _parse_ascii_string","Test_frame → _parse_ascii_string","cross_community",5,"['comm_4','comm_3']","Function:test_plc_rf.py:test_frame","Function:plc_rf_parser.py:PLCRFProtocolParser._parse_ascii_string"
"proc_7_set_protocol","Set_protocol → _current_time","Set_protocol → _current_time","intra_community",5,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_protocol","Function:preset_buttons.py:PresetButtonWidget._current_time"
"proc_8_set_protocol","Set_protocol → _trim_log","Set_protocol → _trim_log","intra_community",5,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_protocol","Function:preset_buttons.py:PresetButtonWidget._trim_log"
"proc_9_set_protocol","Set_protocol → _get_path","Set_protocol → _get_path","intra_community",5,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_protocol","Function:preset_buttons.py:PresetButtonWidget._get_path"
"proc_10_set_file_paths","Set_file_paths → _current_time","Set_file_paths → _current_time","intra_community",5,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_file_paths","Function:preset_buttons.py:PresetButtonWidget._current_time"
"proc_11_set_file_paths","Set_file_paths → _trim_log","Set_file_paths → _trim_log","intra_community",5,"['comm_22']","Function:preset_buttons.py:PresetButtonWidget.set_file_paths","Function:preset_buttons.py:PresetButtonWidget._trim_log"
