id,name,filePath,startLine,endLine,level,content,description
"Section:集中器本地通信模块接口-2024.md:L1:国家电网有限公司企业标准","国家电网有限公司企业标准","集中器本地通信模块接口-2024.md",1,6,1,"# 国家电网有限公司企业标准

Q/GDW 10376.2—2024

代替 Q/GDW 10376.2—2019

# 用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口

# Electric energy data acquisition system communication protocol Part 2: Concentrator local communication module interface","h1"
"Section:集中器本地通信模块接口-2024.md:L7:用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口","用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口","集中器本地通信模块接口-2024.md",7,8,1,"
# 用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口

# Electric energy data acquisition system communication protocol Part 2: Concentrator local communication module interface

2024-11-08 发布 2024-11-08 实施","h1"
"Section:集中器本地通信模块接口-2024.md:L9:Electric energy data acquisition system communication protocol Part 2: Concentrator local communication module interface","Electric energy data acquisition system communication protocol Part 2: Concentrator local communication module interface","集中器本地通信模块接口-2024.md",9,94,1,"
# Electric energy data acquisition system communication protocol Part 2: Concentrator local communication module interface

2024-11-08 发布 2024-11-08 实施

国家电网有限公司 发布

## 目 次

前言 …… II  
  
1 范围 …… 1  
  
2 规范性引用文件 …… 1  
  
3 术语和定义 …… 1  
  
4 符号、代号和缩略语 …… 2  
  
5 帧结构 …… 2  
  
5.1 参考模型 …… 2  
  
5.2 字节格式 …… 2  
  
5.3 帧格式 …… 2  
  
5.4 链路传输 …… 4  
  
5.5 物理接口 …… 5  
  
6 用户数据结构 …… 5  
  
6.1 用户数据区格式 …… 5  
  
6.2 信息域 R …… 5  
  
6.3 地址域 A …… 7  
  
6.4 应用数据域 …… 8  
  
6.5 应用数据报文结构 …… 11  
  
附录 A（规范性） 集中器与本地通信模块交互流程 …… 68  
  
编制说明 …… 75

## 前言

本文件依据 GB/T 1.1—2020《标准化工作导则 第 1 部分：标准化文件的结构和起草规则》的要求，按照《国家电网有限公司技术标准管理办法》的规定起草。

本文件是 Q/GDW 10376《用电信息采集系统通信协议》的第 2 部分。Q/GDW 10376 已经发布了以下部分：

——第1部分：主站与采集终端；

——第2部分：集中器本地通信模块接口；

——第3部分：采集终端远程通信模块接口。

本文件代替 Q/GDW 10376.2—2019《用电信息采集系统通信协议 第2部分：集中器本地通信模块接口》，与 Q/GDW 10376.2—2019 相比，除结构调整和编辑性改动外，主要技术变化如下：

a）增加了双模无线信道查询与配置相关协议（见6.5.8）；

b）增加了本地通信信道加密配置相关协议（见6.5.4.5）；

c）增加了适应物联表升级、事件上报相关协议（见6.5.6.3.11）。

本文件由国家电网有限公司市场营销部提出并解释。

本文件由国家电网有限公司科技创新部归口。

本文件起草单位：中国电力科学研究院有限公司、国网河北省电力有限公司、国网冀北电力有限公司、国网山东省电力公司、国网浙江省电力有限公司、国网福建省电力有限公司、国网湖南省电力有限公司、国网河南省电力公司、国网重庆市电力公司、国网宁夏电力有限公司、国网新疆电力有限公司。

本文件主要起草人：张海龙、祝恩国、卢继哲、侯帅、杜新纲、卢和平、葛得辉、郜波、周晖、王齐、阿辽沙·叶、李然、任毅、巫钟兴、王清、侯文昭、王伟峰、林华、黄瑞、刘谋海、曾文伟、刘立平、吴聪、苏玉萍、谢广成、黄吉涛、梁飞、李宁。

本文件及其所代替文件的历次版本发布情况为：

——2009年12月首次发布；

——2013年3月第一次修订；

——2019年11月第二次修订；

——本次为第三次修订。

本文件在执行过程中的意见或建议反馈至国家电网有限公司科技创新部。

# 用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口

## 1 范围","h1"
"Section:集中器本地通信模块接口-2024.md:L15:目 次","目 次","集中器本地通信模块接口-2024.md",15,54,2,"
## 目 次

前言 …… II  
  
1 范围 …… 1  
  
2 规范性引用文件 …… 1  
  
3 术语和定义 …… 1  
  
4 符号、代号和缩略语 …… 2  
  
5 帧结构 …… 2  
  
5.1 参考模型 …… 2  
  
5.2 字节格式 …… 2  
  
5.3 帧格式 …… 2  
  
5.4 链路传输 …… 4  
  
5.5 物理接口 …… 5  
  
6 用户数据结构 …… 5  
  
6.1 用户数据区格式 …… 5  
  
6.2 信息域 R …… 5  
  
6.3 地址域 A …… 7  
  
6.4 应用数据域 …… 8  
  
6.5 应用数据报文结构 …… 11  
  
附录 A（规范性） 集中器与本地通信模块交互流程 …… 68  
  
编制说明 …… 75

## 前言

本文件依据 GB/T 1.1—2020《标准化工作导则 第 1 部分：标准化文件的结构和起草规则》的要求，按照《国家电网有限公司技术标准管理办法》的规定起草。","h2"
"Section:集中器本地通信模块接口-2024.md:L55:前言","前言","集中器本地通信模块接口-2024.md",55,94,2,"
## 前言

本文件依据 GB/T 1.1—2020《标准化工作导则 第 1 部分：标准化文件的结构和起草规则》的要求，按照《国家电网有限公司技术标准管理办法》的规定起草。

本文件是 Q/GDW 10376《用电信息采集系统通信协议》的第 2 部分。Q/GDW 10376 已经发布了以下部分：

——第1部分：主站与采集终端；

——第2部分：集中器本地通信模块接口；

——第3部分：采集终端远程通信模块接口。

本文件代替 Q/GDW 10376.2—2019《用电信息采集系统通信协议 第2部分：集中器本地通信模块接口》，与 Q/GDW 10376.2—2019 相比，除结构调整和编辑性改动外，主要技术变化如下：

a）增加了双模无线信道查询与配置相关协议（见6.5.8）；

b）增加了本地通信信道加密配置相关协议（见6.5.4.5）；

c）增加了适应物联表升级、事件上报相关协议（见6.5.6.3.11）。

本文件由国家电网有限公司市场营销部提出并解释。

本文件由国家电网有限公司科技创新部归口。

本文件起草单位：中国电力科学研究院有限公司、国网河北省电力有限公司、国网冀北电力有限公司、国网山东省电力公司、国网浙江省电力有限公司、国网福建省电力有限公司、国网湖南省电力有限公司、国网河南省电力公司、国网重庆市电力公司、国网宁夏电力有限公司、国网新疆电力有限公司。

本文件主要起草人：张海龙、祝恩国、卢继哲、侯帅、杜新纲、卢和平、葛得辉、郜波、周晖、王齐、阿辽沙·叶、李然、任毅、巫钟兴、王清、侯文昭、王伟峰、林华、黄瑞、刘谋海、曾文伟、刘立平、吴聪、苏玉萍、谢广成、黄吉涛、梁飞、李宁。

本文件及其所代替文件的历次版本发布情况为：

——2009年12月首次发布；

——2013年3月第一次修订；

——2019年11月第二次修订；

——本次为第三次修订。

本文件在执行过程中的意见或建议反馈至国家电网有限公司科技创新部。

# 用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口

## 1 范围","h2"
"Section:集中器本地通信模块接口-2024.md:L95:用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口","用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口","集中器本地通信模块接口-2024.md",95,2912,1,"
# 用电信息采集系统通信协议 第 2 部分：集中器本地通信模块接口

## 1 范围

本文件规定了用电信息采集系统中集中器与本地通信模块接口间进行数据传输的帧结构、用户数据结构及交互流程。

本文件适用于采用低压电力线载波、微功率无线通信、以太网传输通道的本地通信组网方式，适用于集中器与本地通信模块间数据交换。

## 2 规范性引用文件

下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用于本文件。

GB/T 18657.1—2002 远动设备及系统 第 5 部分：传输规约 第 1 篇：传输帧格式

GB/T 18657.3 远动设备及系统 第 5 部分：传输规约 第 3 篇：应用数据的一般结构

DL/T 645 多功能电能表通信协议

DL/T 698.45 电能信息采集与管理系统 第 4-5 部分：通信协议——面向对象的数据交换协议

Q/GDW 10375.2 用电信息采集系统型式规范 第 2 部分：集中器

## 3 术语和定义

下列术语和定义适用于本文件。

3.1

主节点 primary node

集中器所在的本地通信模块。

3.2

从节点 secondary node

采集器或计量点（电能表）所在的本地通信模块。

### 3.3 

从节点附属节点 sub node of secondary node

与从节点具有绑定关系的附加设备，简称附属节点。

### 3.4 

相别 phase ID

对应于节点信道时序物理相线，取值为 1、2、3。

### 3.5 

信道标识 channel ID

载波通信报文传输相别。

### 3.6 

## 信号品质 signal quality

表达节点对载波信号质量的量化值，取值范围 1～15。

### 3.7 

源地址 source address

传输数据帧的起始发送方的节点 MAC 地址。

### 3.8 

## 中继地址 relay address

传输数据帧时进行中继传送的节点 MAC 地址。

### 3.9 

## 目的地址 destination address

传输数据帧的最终接收方的节点 MAC 地址。

## 4 符号、代号和缩略语

下列符号、代号和缩略语适用于本文件。

A: 地址域（address）

A1: 源地址（address1）

A2: 中继地址（address2）

A3: 目的地址（address3）

AFN: 应用功能码（application function number）

BCD: 二一十进制编码（binary-coded decimal）

BIN: 二进制编码（binary）

BS: 独立位组合（bit-string）

C: 控制域（control）

CS: 帧校验和（checksum）

DIR: 传输方向位（direction）

Fn: 信息类标识码（function number）

L: 长度（length）

L1: 用户数据长度（length1）

PRM: 启动标志位（primary message）

R: 信息域（relay information domain）

NID: 网络识别码（network identification）

## 5 帧结构

### 5.1 参考模型

基于 GB/T 18657.3 规定的三层参考模型 “增强性能体系结构”。

### 5.2 字节格式

帧的基本单元为8位字节。链路层传输顺序为低位在前，高位在后；低字节在前，高字节在后。

字节传输按异步方式进行，通信速率 9600 bit/s 或以上，默认为 9600 bit/s，它包含 8 个数据位、1 个起始位 “0”、1 个偶校验位 P 和 1 个停止位 “1”，传输字节格式如图 1 所示。


<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>0</td><td style='text-align: center; word-wrap: break-word;'>D0</td><td style='text-align: center; word-wrap: break-word;'>D1</td><td style='text-align: center; word-wrap: break-word;'>D2</td><td style='text-align: center; word-wrap: break-word;'>D3</td><td style='text-align: center; word-wrap: break-word;'>D4</td><td style='text-align: center; word-wrap: break-word;'>D5</td><td style='text-align: center; word-wrap: break-word;'>D6</td><td style='text-align: center; word-wrap: break-word;'>D7</td><td style='text-align: center; word-wrap: break-word;'>P</td><td style='text-align: center; word-wrap: break-word;'>1</td></tr><tr><td style='text-align: center; word-wrap: break-word;'>起始位</td><td colspan=""8"">8个数据位</td><td style='text-align: center; word-wrap: break-word;'>偶校验位</td><td style='text-align: center; word-wrap: break-word;'>停止位</td></tr></table>

<div style=""text-align: center;"">图 1 传输字节格式</div>


### 5.3 帧格式

#### 5.3.1 帧格式定义

本部分采用 GB/T 18657.1—2002 的 6.2.4 规定的 FT1.2 异步式传输帧格式，传输帧格式如图 2 所示。

<div style=""text-align: center;""><img src=""https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl//538ec5b5-6c26-4377-ba8b-7c57c9d54cf5/markdown_0/imgs/img_in_image_box_298_341_682_584.jpg?authorization=bce-auth-v1%2FALTAKzReLNvew3ySINYJ0fuAMN%2F2026-04-21T06%3A14%3A56Z%2F-1%2F%2F4f97f0d6247753400a221c6e2cabe8c6a7b297604ad2ff7733b6516d42643fa4"" alt=""Image"" width=""32%"" /></div>


用户数据区

___

___

___

___

<div style=""text-align: center;"">图 2 传输帧格式</div>


#### 5.3.2 传输规则

要求如下：

a）线路空闲状态为二进制1；

b）帧的字符之间无线路空闲间隔；

c）如按 d）检出了差错，两帧之间的线路空闲间隔最少需 33 位；

d）对于每个字符的接收方校验：

校验启动位、停止位、偶校验位；

e）对于每帧的接收方校验：

1）检验帧的固定报文头中的起始字符；

2）识别1个长度L；

3）每帧接收的字符数为用户数据长度 $ L1+6 $;

4）帧校验和；

5）结束字符；

6）校验出一个差错时，校验按 c）的线路空闲间隔。

若这些校验有一个失败，舍弃此帧；若无差错，则此帧数据有效。

#### 5.3.3 长度 L

长度 L 是指帧数据的总长度，由 2 字节组成，BIN 格式，包括用户数据长度 L1 和 6 个字节的固定长度（起始字符、长度、控制域、校验和、结束字符），长度 L 不大于 65535。

#### 5.3.4 控制域 C

##### 5.3.4.1 控制域 C 定义及传输方向位 DIR

控制域 C 表示报文的传输方向、启动标志和通信模块的通信方式类型信息，由 1 字节组成，控制域定义如图 3 所示。

<div style=""text-align: center;""><img src=""https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl//538ec5b5-6c26-4377-ba8b-7c57c9d54cf5/markdown_0/imgs/img_in_image_box_378_1409_834_1509.jpg?authorization=bce-auth-v1%2FALTAKzReLNvew3ySINYJ0fuAMN%2F2026-04-21T06%3A14%3A56Z%2F-1%2F%2F128b4d7fe8d0b8b6db8a6b1f25e9c3e30151b9e92f1c5095cadabe1b161f9272"" alt=""Image"" width=""38%"" /></div>


<div style=""text-align: center;"">图 3 控制域定义</div>


DIR=0 表示此帧报文是由集中器发出的下行报文；DIR=1 表示此帧报文是由通信模块发出的上行报文。

##### 5.3.4.2 启动标志位 PRM

启动标志位 PRM 见表 1。

<div style=""text-align: center;"">表 1 启动标志位 PRM</div>



<table border=1 style='margin: auto; word-wrap: break-word;'><tr><td style='text-align: center; word-wrap: break-word;'>PRM</td><td style='text-align: center; word-wrap: break-word;'>说明</td></tr><tr><td style='text-align: center; word-wrap: break-word;'>0</td><td style='text-align: center; word-wrap: break-word;'>表示此帧报文来自从动站</td></tr><tr><td style='text-align: center; word-wrap: break-word;'>1</td><td style='text-align: center; word-wrap: break-word;'>表示此帧报文来自启动站</td></tr></table>

##### 5.3.4.3 通信方式

通信方式是指集中器下行的通信模块所采用的通信方式类型，不同的通信方式决定用户数据区中的数据构成和格式，本部分根据不同的通信方式分别定义和描述用户数据区的内容，具体见后续章条。通信模块的通信方式定
... [truncated]","h1"
"Section:集中器本地通信模块接口-2024.md:L97:1 范围","1 范围","集中器本地通信模块接口-2024.md",97,102,2,"
## 1 范围

本文件规定了用电信息采集系统中集中器与本地通信模块接口间进行数据传输的帧结构、用户数据结构及交互流程。

本文件适用于采用低压电力线载波、微功率无线通信、以太网传输通道的本地通信组网方式，适用于集中器与本地通信模块间数据交换。

## 2 规范性引用文件

下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用于本文件。","h2"
"Section:集中器本地通信模块接口-2024.md:L103:2 规范性引用文件","2 规范性引用文件","集中器本地通信模块接口-2024.md",103,116,2,"
## 2 规范性引用文件

下列文件中的内容通过文中的规范性引用而构成本文件必不可少的条款。其中，注日期的引用文件，仅该日期对应的版本适用于本文件；不注日期的引用文件，其最新版本（包括所有的修改单）适用于本文件。

GB/T 18657.1—2002 远动设备及系统 第 5 部分：传输规约 第 1 篇：传输帧格式

GB/T 18657.3 远动设备及系统 第 5 部分：传输规约 第 3 篇：应用数据的一般结构

DL/T 645 多功能电能表通信协议

DL/T 698.45 电能信息采集与管理系统 第 4-5 部分：通信协议——面向对象的数据交换协议

Q/GDW 10375.2 用电信息采集系统型式规范 第 2 部分：集中器

## 3 术语和定义

下列术语和定义适用于本文件。","h2"
"Section:集中器本地通信模块接口-2024.md:L117:3 术语和定义","3 术语和定义","集中器本地通信模块接口-2024.md",117,152,2,"
## 3 术语和定义

下列术语和定义适用于本文件。

3.1

主节点 primary node

集中器所在的本地通信模块。

3.2

从节点 secondary node

采集器或计量点（电能表）所在的本地通信模块。

### 3.3 

从节点附属节点 sub node of secondary node

与从节点具有绑定关系的附加设备，简称附属节点。

### 3.4 

相别 phase ID

对应于节点信道时序物理相线，取值为 1、2、3。

### 3.5 

信道标识 channel ID

载波通信报文传输相别。

### 3.6 

## 信号品质 signal quality

表达节点对载波信号质量的量化值，取值范围 1～15。","h2"
"Section:集中器本地通信模块接口-2024.md:L133:3.3","3.3","集中器本地通信模块接口-2024.md",133,138,3,"
### 3.3 

从节点附属节点 sub node of secondary node

与从节点具有绑定关系的附加设备，简称附属节点。

### 3.4 

相别 phase ID","h3"
